RUNNING K MEANS
INITIAL WEIGHTS: 
[[-0.07043624  0.06091752  0.01701044 -0.08331397 -0.05122999 -0.01860219
  -0.00027406 -0.06384344 -0.0053133  -0.02900243]]
EPOCH: 0
COST: 1.1009158643896242
COST: 1.0000112817420537
COST: 11.98920939824564
COST: 1.4016505436923887
COST: 1.2126941424256785
COST: 1.0000000000010956
COST: 4.000309860361526
COST: 1.0000059102854044
COST: 1.0000000204727777
COST: 4.047285296654697
COST: 9.006774728698868
COST: 9.0
COST: 4.00000539940559
COST: 4.0047632630275825
COST: 4.108657462518909
COST: 9.015797012365907
COST: 1.0003625985809201
COST: 1.0000000000001483
COST: 9.111734240017304
COST: 1.0000469913182877
COST: 1.4252183200952169
COST: 4.805430215080137
COST: 9.984480867661603
COST: 8.999999816221282
COST: 4.295164384291614
COST: 0.9962280548568734
COST: 4.000000070831593
COST: 4.000833113203781
COST: 4.000000103527344
COST: 8.999999999999996
COST: 1.1646854775728563
COST: 1.0
COST: 4.232312954507023
COST: 4.0
COST: 1.0001521033690783
COST: 9.004626782693629
COST: 4.000010770233524
COST: 4.0000067045481815
COST: 3.959757803055835
COST: 4.000000041912511
COST: 9.047947987120624
COST: 9.001574123164687
COST: 4.000001496483794
COST: 4.164942729641001
COST: 4.06110939676793
COST: 4.0000002875343945
COST: 0.9771465601262803
COST: 1.0000000038453747
COST: 8.99999999999999
COST: 3.974588752616183
COST: 1.0605733475866257
COST: 9.00015778722171
COST: 1.0008510478126604
COST: 9.004636655212574
COST: 3.999999999999689
COST: 1.0000000014048838
COST: 4.257940771154282
COST: 4.090838584894828
COST: 8.999929354725694
COST: 4.000000002557369
COST: 4.071512544004322
COST: 8.999999999999824
COST: 9.310695111553008
COST: 1.0000056674655355
COST: 9.127895151588293
COST: 4.008808334465364
COST: 8.721521382562656
COST: 0.99999103021543
COST: 4.000027801283088
COST: 0.9999999999999811
COST: 8.969524286751106
COST: 3.999999999189783
COST: 4.000812214098681
COST: 1.058346803207141
COST: 8.92582873310313
COST: 8.86656066048498
COST: 3.964085499766961
COST: 1.0
COST: 0.9845852609394775
COST: 0.9999999999999922
COST: 9.00100900794296
COST: 0.9997560528286914
COST: 8.999837439120688
COST: 1.0005198446935324
COST: 0.9928604640696959
COST: 1.0006859552033107
COST: 9.000000208723224
COST: 0.9999999999999851
COST: 8.99999992409499
COST: 0.9926975742565692
COST: 9.000203101341613
COST: 1.1044948344771106
COST: 3.9998172967974663
COST: 8.911757685421358
COST: 4.000000000098696
COST: 1.0105614583547633
COST: 0.9999999995780475
COST: 4.156280602108841
COST: 3.999917675359359
COST: 4.000002021321793
COST: 1.0014264201364196
COST: 4.130060456849285
COST: 9.0000000004339
COST: 3.999962470181628
COST: 4.000248000573982
COST: 0.9999380641292789
COST: 0.9999998437915952
COST: 8.839558212212426
COST: 4.148120665527882
COST: 3.9934590669335144
COST: 3.99999934741213
COST: 1.0
COST: 3.9999999491647884
COST: 4.0185249566470675
COST: 4.000448249330568
COST: 3.9986699350417982
COST: 1.000000000962467
COST: 3.999954286717959
COST: 9.000003087929047
COST: 1.0555579401395425
COST: 4.217979255035349
COST: 4.0006154465794
COST: 8.99999999998678
COST: 1.0013445503752565
COST: 4.06848371276841
COST: 4.000004187156934
